dia;mes;ano;valor
1;1;1935;11.2
2;1;1935;14.3
3;1;1935;16.0
4;1;1935;5.9
5;1;1935;11.8
6;1;1935;14.0
7;1;1935;12.3
8;1;1935;16.3
9;1;1935;19.8
10;1;1935;18.0
11;1;1935;14.6
12;1;1935;7.5
13;1;1935;14.0
14;1;1935;14.5
15;1;1935;18.3
16;1;1935;18.3
17;1;1935;8.7
18;1;1935;17.9
19;1;1935;19.6
20;1;1935;20.7
21;1;1935;26.0
22;1;1935;16.6
23;1;1935;17.1
24;1;1935;10.2
25;1;1935;17.7
26;1;1935;13.5
27;1;1935;8.7
28;1;1935;5.9
29;1;1935;19.2
30;1;1935;17.3
31;1;1935;20.1
1;2;1935;12.5
2;2;1935;23.9
3;2;1935;24.8
4;2;1935;24.1
5;2;1935;23.1
6;2;1935;18.9
7;2;1935;22.8
8;2;1935;24.9
9;2;1935;23.4
10;2;1935;27.0
11;2;1935;16.4
12;2;1935;20.6
13;2;1935;20.9
14;2;1935;8.3
15;2;1935;14.2
16;2;1935;19.0
17;2;1935;25.3
18;2;1935;24.5
19;2;1935;24.8
20;2;1935;9.4
21;2;1935;19.2
22;2;1935;21.3
23;2;1935;15.0
24;2;1935;15.1
25;2;1935;22.0
26;2;1935;24.4
27;2;1935;15.9
28;2;1935;20.7
1;3;1935;10.6
2;3;1935;6.9
3;3;1935;10.6
4;3;1935;21.2
5;3;1935;23.4
6;3;1935;21.2
7;3;1935;23.7
8;3;1935;18.1
9;3;1935;19.3
10;3;1935;23.2
11;3;1935;19.7
12;3;1935;16.6
13;3;1935;20.4
14;3;1935;20.2
15;3;1935;17.8
16;3;1935;17.4
17;3;1935;12.9
18;3;1935;17.5
19;3;1935;6.2
20;3;1935;16.2
21;3;1935;8.4
22;3;1935;7.1
23;3;1935;11.4
24;3;1935;13.4
25;3;1935;18.5
26;3;1935;13.9
27;3;1935;8.8
28;3;1935;13.2
29;3;1935;5.2
30;3;1935;12.8
31;3;1935;14.9
1;4;1935;14.3
2;4;1935;13.2
3;4;1935;10.7
4;4;1935;14.5
5;4;1935;11.8
6;4;1935;12.3
7;4;1935;11.3
8;4;1935;12.3
9;4;1935;10.6
10;4;1935;8.3
11;4;1935;13.5
12;4;1935;9.9
13;4;1935;13.5
14;4;1935;16.3
15;4;1935;12.9
16;4;1935;10.8
17;4;1935;12.2
18;4;1935;14.0
19;4;1935;8.9
20;4;1935;14.7
21;4;1935;19.4
22;4;1935;17.3
23;4;1935;17.6
24;4;1935;15.1
25;4;1935;11.5
26;4;1935;17.9
27;4;1935;15.6
28;4;1935;12.9
29;4;1935;10.7
30;4;1935;9.4
1;5;1935;11.2
2;5;1935;14.6
3;5;1935;6.7
4;5;1935;5.2
5;5;1935;12.0
6;5;1935;10.3
7;5;1935;8.7
8;5;1935;6.9
9;5;1935;13.7
10;5;1935;14.7
11;5;1935;14.9
12;5;1935;7.4
13;5;1935;15.1
14;5;1935;14.3
15;5;1935;5.1
16;5;1935;5.9
17;5;1935;14.2
18;5;1935;14.9
19;5;1935;9.0
20;5;1935;13.1
21;5;1935;10.2
22;5;1935;6.6
23;5;1935;11.3
24;5;1935;10.7
25;5;1935;11.5
26;5;1935;7.7
27;5;1935;10.3
28;5;1935;8.2
29;5;1935;12.3
30;5;1935;11.3
31;5;1935;12.8
1;6;1935;13.4
2;6;1935;10.7
3;6;1935;14.3
4;6;1935;9.1
5;6;1935;13.1
6;6;1935;8.8
7;6;1935;10.1
8;6;1935;13.9
9;6;1935;13.8
10;6;1935;8.1
11;6;1935;5.2
12;6;1935;9.5
13;6;1935;5.2
14;6;1935;14.7
15;6;1935;14.5
16;6;1935;14.1
17;6;1935;10.5
18;6;1935;5.3
19;6;1935;13.1
20;6;1935;11.5
21;6;1935;10.8
22;6;1935;9.6
23;6;1935;9.7
24;6;1935;11.8
25;6;1935;12.8
26;6;1935;13.2
27;6;1935;14.6
28;6;1935;8.3
29;6;1935;10.6
30;6;1935;11.8
1;7;1935;10.2
2;7;1935;13.2
3;7;1935;13.2
4;7;1935;14.0
5;7;1935;12.2
6;7;1935;10.6
7;7;1935;10.6
8;7;1935;11.1
9;7;1935;5.4
10;7;1935;6.7
11;7;1935;3.7
12;7;1935;15.0
13;7;1935;15.3
14;7;1935;4.1
15;7;1935;3.0
16;7;1935;14.0
17;7;1935;10.8
18;7;1935;13.5
19;7;1935;10.6
20;7;1935;13.1
21;7;1935;15.2
22;7;1935;13.3
23;7;1935;16.0
24;7;1935;13.1
25;7;1935;2.5
26;7;1935;7.7
27;7;1935;11.3
28;7;1935;15.8
29;7;1935;15.8
30;7;1935;11.4
31;7;1935;9.7
1;8;1935;11.3
2;8;1935;16.6
3;8;1935;14.7
4;8;1935;10.6
5;8;1935;17.9
6;8;1935;16.3
7;8;1935;12.7
8;8;1935;15.0
9;8;1935;14.5
10;8;1935;9.7
11;8;1935;15.3
12;8;1935;11.1
13;8;1935;4.6
14;8;1935;4.4
15;8;1935;5.5
16;8;1935;5.2
17;8;1935;8.4
18;8;1935;11.4
19;8;1935;10.8
20;8;1935;6.1
21;8;1935;5.7
22;8;1935;5.2
23;8;1935;6.4
24;8;1935;7.3
25;8;1935;14.2
26;8;1935;12.7
27;8;1935;16.5
28;8;1935;15.4
29;8;1935;13.7
30;8;1935;13.7
31;8;1935;17.7
1;9;1935;19.3
2;9;1935;19.6
3;9;1935;18.9
4;9;1935;11.5
5;9;1935;7.2
6;9;1935;13.5
7;9;1935;14.4
8;9;1935;10.6
9;9;1935;14.0
10;9;1935;19.0
11;9;1935;10.1
12;9;1935;12.9
13;9;1935;19.3
14;9;1935;18.2
15;9;1935;10.7
16;9;1935;9.1
17;9;1935;6.8
18;9;1935;17.6
19;9;1935;17.3
20;9;1935;10.4
21;9;1935;18.1
22;9;1935;17.0
23;9;1935;11.9
24;9;1935;5.5
25;9;1935;23.8
26;9;1935;23.7
27;9;1935;23.2
28;9;1935;20.4
29;9;1935;22.2
30;9;1935;21.6
1;10;1935;23.4
2;10;1935;21.8
3;10;1935;18.9
4;10;1935;13.0
5;10;1935;14.3
6;10;1935;14.6
7;10;1935;15.5
8;10;1935;14.0
9;10;1935;9.0
10;10;1935;10.6
11;10;1935;11.7
12;10;1935;8.8
13;10;1935;8.4
14;10;1935;12.2
15;10;1935;21.3
16;10;1935;13.4
17;10;1935;5.4
18;10;1935;15.2
19;10;1935;21.1
20;10;1935;22.0
21;10;1935;19.2
22;10;1935;19.3
23;10;1935;15.9
24;10;1935;9.9
25;10;1935;10.2
26;10;1935;10.3
27;10;1935;15.8
28;10;1935;14.6
29;10;1935;17.1
30;10;1935;17.5
31;10;1935;21.8
1;11;1935;26.1
2;11;1935;25.9
3;11;1935;26.2
4;11;1935;27.3
5;11;1935;17.0
6;11;1935;23.5
7;11;1935;24.1
8;11;1935;25.8
